3228 0,2872217
3229 0,2463054
3230 0,3270357
3231 0,3620279
3232 0,3917642
3233 0,3518658
3234 0,3628356
3235 0,3669764
3236 0,3294528
3237 0,3583246
3238 0,3662111
3239 0,3691697
3240 0,3751863
3241 0,3709718
3242 0,3754969
3243 0,3749535
3244 0,3137496
3245 0,3633474
3246 0,3474269
3247 0,3668154
3248 0,3717075
3249 0,3706645
3250 0,3564403
3251 0,3473856
3252 0,3511655
3253 0,328055
3254 0,3119995
3255 0,3066203
3256 0,2974919
3257 0,4112538
3258 0,3795979
3259 0,3599675
3260 0,3646102
3261 0,3346571
3262 0,3859547
3263 0,4373584
3264 0,3935997
3265 0,3563772
3266 0,4271778
3267 0,4192141
3268 0,4199418
3269 0,3739652
3270 0,3809826
3271 0,3959396
3272 0,3948193
3273 0,3682749
3274 0,3671685
3275 0,3795478
3276 0,3674632
3277 0,3618901
3278 0,3646038
3279 0,4199266
3280 0,4108416
3281 0,3649644
3282 0,3786206
3283 0,3863162
3284 0,3924027
3285 0,3627672
3286 0,3934175
3287 0,3772519
3288 0,343859
3289 0,3684062
3290 0,4364919
3291 0,3673352
3292 0,3699737
3293 0,3675615
3294 0,335772
3295 0,3771152
3296 0,3499588
3297 0,3566021
3298 0,4161061
3299 0,3878597
3300 0,3652585
3301 0,387964
3302 0,4048069
3303 0,36477
3304 0,372144
3305 0,4109979
3306 0,3954013
3307 0,3943839
3308 0,3712506
3309 0,2984339
3310 0,3312862
3311 0,3586617
3312 0,3667626
3313 0,3218811
3314 0,3516582
3315 0,3167089
3316 0,3191651
3317 0,3353939
3318 0,3911396
3319 0,3898476
3320 0,3696064
3321 0,3571804
3322 0,3535865
3323 0,390783
3324 0,3665023
3325 0,3828847
3326 0,3946142
3327 0,3550975
3328 0,327657
3329 0,3360181
3330 0,351761
3331 0,3843746
3332 0,3900994
3333 0,3960204
3334 0,3896732
3335 0,396188
3336 0,3602466
3337 0,3469888
3338 0,3811564
3339 0,3881273
3340 0,3644651
3341 0,3682657
3342 0,3734571
3343 0,3617804
3344 0,3512713
3345 0,3123134
3346 0,3577095
3347 0,3677527
3348 0,3841656
3349 0,3775233
3350 0,3609396
3351 0,4079875
3352 0,3878518
3353 0,3390855
3354 0,3408711
3355 0,3739192
3356 0,3745138
3357 0,3956773
3358 0,3630682
3359 0,3269486
3360 0,3099945
3361 0,3917464
3362 0,3934536
3363 0,3648907
3364 0,3517187
3365 0,3700259
3366 0,4076308
3367 0,4328718
3368 0,3781106
3369 0,3472919
3370 0,3781156
3371 0,4154241
3372 0,3428374
3373 0,353328
3374 0,3838008
3375 0,4219534
3376 0,4078669
3377 0,3994957
3378 0,3853498
3379 0,4157256
3380 0,4512299
3381 0,3668317
3382 0,3841356
3383 0,4095763
3384 0,4219334
3385 0,4075944
3386 0,3658083
3387 0,3413849
3388 0,3788738
3389 0,3989449
3390 0,4542033
3391 0,4422321
3392 0,3770193
3393 0,414947
3394 0,4113913
3395 0,4146929
3396 0,4054596
3397 0,4044316
3398 0,3699682
3399 0,3700124
3400 0,423291
3401 0,4082878
3402 0,3753061
3403 0,3732023
3404 0,3599258
3405 0,3410518
3406 0,3572048
3407 0,3824838
3408 0,4242558
3409 0,4606046
3410 0,3869079
3411 0,3441479
3412 0,3443995
3413 0,3209769
3414 0,3055891
3415 0,3338333
3416 0,3632378
3417 0,3888911
3418 0,4022007
3419 0,4099006
3420 0,3626761
3421 0,3321749
3422 0,3324073
3423 0,3329613
3424 0,3454663
3425 0,4229907
3426 0,3860361
3427 0,319405
3428 0,381036
3429 0,3989129
3430 0,3711623
3431 0,3153604
3432 0,3473565
3433 0,3297726
3434 0,3531392
3435 0,3949675
3436 0,3780648
3437 0,3244228
3438 0,4322465
3439 0,3975018
3440 0,3326181
3441 0,33191
3442 0,3682702
3443 0,3568359
3444 0,3856417
3445 0,3786281
3446 0,3675591
3447 0,3714459
3448 0,3889566
3449 0,3836955
3450 0,3673249
3451 0,3915035
3452 0,3838971
3453 0,3724783
3454 0,3660219
3455 0,3257574
3456 0,3048728
3457 0,3297434
3458 0,3616908
3459 0,3363832
3460 0,2873021
3461 0,3318468
3462 0,367079
3463 0,3483406
3464 0,3744018
3465 0,3410811
3466 0,3982144
3467 0,4159012
3468 0,3853472
3469 0,3863146
3470 0,3618689
3471 0,3962342
3472 0,374767
3473 0,3404156
3474 0,2705105
3475 0,3092321
3476 0,3531062
3477 0,3929241
3478 0,3847215
3479 0,3771986
3480 0,3085552
3481 0,3190875
3482 0,3473345
3483 0,3964573
3484 0,327882
3485 0,3686646
3486 0,4280446
3487 0,3914697
3488 0,3881131
3489 0,4119844
3490 0,3582165
3491 0,3196543
3492 0,3325528
3493 0,3697335
3494 0,3548396
3495 0,3702504
3496 0,4269463
3497 0,3734622
3498 0,4105244
3499 0,3966896
3500 0,3824108
3501 0,3703656
3502 0,3567415
3503 0,3812145
3504 0,3509656
3505 0,3844153
3506 0,3421168
3507 0,3720445
3508 0,3894544
3509 0,3702869
3510 0,3507095
3511 0,2819396
3512 0,3408431
3513 0,3762854
3514 0,3804602
3515 0,4130803
3516 0,3775288
3517 0,3604362
3518 0,3482889
3519 0,3711043
3520 0,3479014
3521 0,3758477
3522 0,399456
3523 0,3867983
3524 0,3897438
3525 0,3977824
3526 0,386848
3527 0,3571144
3528 0,3952142
3529 0,3723777
3530 0,3145023
3531 0,3715633
3532 0,3993991
3533 0,3352325
3534 0,3129038
3535 0,3720546
3536 0,33668
3537 0,3208287
3538 0,3470389
3539 0,3383562
3540 0,3503394
3541 0,3203609
3542 0,2890975
3543 0,3516204
3544 0,3083236
3545 0,2894459
3546 0,2879605
3547 0,358859
3548 0,3142305
3549 0,297146
3550 0,3458366
3551 0,3225534
3552 0,3016138
3553 0,3492353
3554 0,3947188
3555 0,3376829
3556 0,3165526
3557 0,3282366
3558 0,303808
3559 0,3360041
3560 0,3523341
3561 0,3009151
3562 0,2867849
3563 0,2932448
3564 0,3521029
3565 0,3071711
3566 0,3276891
3567 0,2729135
3568 0,3270449
3569 0,4272343
3570 0,4541066
3571 0,4016442
3572 0,3292467
3573 0,3446252
3574 0,4071485
3575 0,389261
3576 0,3758352
3577 0,3260475
3578 0,3337587
3579 0,3878824
3580 0,3747465
3581 0,4030603
3582 0,3477789
3583 0,2961882
3584 0,2809543
3585 0,3335963
3586 0,3096481
3587 0,3681545
3588 0,3032005
3589 0,3589311
3590 0,3089616
3591 0,2579428
3592 0,2914373
3593 0,323144
3594 0,3555574
3595 0,3166079
3596 0,3034595
3597 0,3553062
3598 0,3091575
3599 0,2479502
3600 0,278602
3601 0,2224524
3602 0,2653721
3603 0,3314644
3604 0,3421598
3605 0,3247763
3606 0,3462626
3607 0,3178065
3608 0,3111516
3609 0,2673991
3610 0,2919086
3611 0,2927794
3612 0,318454
3613 0,3663031
3614 0,4017947
3615 0,3275301
3616 0,3234118
3617 0,355266
3618 0,2729378
3619 0,2588793
3620 0,1758648
3621 0,249617
3622 0,3300739
3623 0,3646217
3624 0,340211
3625 0,3443231
3626 0,3695035
3627 0,3397338
3628 0,3001701
3629 0,3627142
3630 0,4039928
3631 0,4352532
3632 0,3598652
3633 0,3315862
3634 0,327318
3635 0,3490833
3636 0,4192464
3637 0,476849
3638 0,4124339
3639 0,3868544
3640 0,3191364
3641 0,3484945
3642 0,3654195
3643 0,3103211
3644 0,4280957
3645 0,4230372
3646 0,3998119
3647 0,3159001
3648 0,3809654
3649 0,3392574
3650 0,3938959
3651 0,3840957
3652 0,3349878
3653 0,3253252
3654 0,3842275
3655 0,3504869
3656 0,2183404
3657 0,30756
3658 0,4505801
3659 0,4994633
3660 0,4635256
3661 0,3683208
3662 0,4077675
3663 0,2398994
3664 0,3712875
3665 0,3070823
3666 0,4288194
3667 0,3867449
3668 0,360509
3669 0,309277
3670 0,2849004
3671 0,2501904
3672 0,2468009
3673 0,3203774
3674 0,2298234
3675 0,3451219
3676 0,3800875
3677 0,3660571
3678 0,2729432
3679 0,1358456
3680 0,2148269
3681 0,3915369
3682 0,3314305
3683 0,4416175
3684 0,4406495
3685 0,2789512
3686 0,2086909
3687 0,2509534
3688 0,4162899
3689 0,4180636
3690 0,4669804
3691 0,3827716
3692 0,2048696
3693 0,1717417
3694 0,2727973
3695 0,1774755
3696 0,3389052
3697 0,313787
3698 0,2891111
3699 0,2435379
3700 0,4691608
3701 0,3147598
3702 0,3875489
3703 0,3438585
3704 0,381072
3705 0,1739212
3706 0,1886953
3707 0,3297182
3708 0,2650602
3709 0,4158969
3710 0,5103302
3711 0,3017019
3712 0,1919728
3713 0,5215055
3714 0,5627923
3715 0,3792356
3716 0,4043689
3717 0,4470527
3718 0,1094982
3719 0,0865132
3720 0,3844474
3721 0,8060968
3722 1,045159
